indicator_id,serie_id,value,performance,reliability,source,city_1_id,city_1_serie,city_1_value,city_1_performance,city_2_id,city_2_serie,city_2_value,city_2_performance,city_3_id,city_3_serie,city_3_value,city_3_performance,city_4_id,city_4_serie,city_4_value,city_4_performance
"28,""1"",""N/D"",""0"",""N/D"",""ND"",""CBB"",""2015"",""51"",""1"",""LAP"",""2012"",""50"",""1"",""MVD"",""2010"",""21"",""1"","""","""","""","""""
"29,""1"",""N/D"",""0"",""N/D"",""ND"",""ZAL"",""2012"",""29"",""1"",""CBB"",""2015"",""  64.5"",""2"",""TRU"",""2012"",""45.3"",""1"","""","""","""","""""
"30,""1"",""N/D"",""0"",""N/D"",""CAMMESA - Elaboración propia en base a EDEA SA y CAMMESA."",""CBB"",""2015"",""101"",""3"",""ASU"",""2014"",""1"",""1"",""BAQ"",""2010"",""69.25"",""2"","""","""","""","""""
"31,""1"",""No existe inventario"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"32,""1"",""N/D"",""0"",""N/D"",""Emisiones de GEI: N/D Población: Elaboración propia en base a MGP|DIE"",""ASU"",""2012"",""2.36"",""1"",""MVD"",""2012"",""3.01"",""1"",""LAP"",""2012"",""7.5"",""2"","""","""","""","""""
"33,""1"",""N/D"",""0"",""N/D"",""Emisiones de GEI: N/D - PBG: N/D"",""ASU"",""2014"",""0.4"",""2"",""MVD"",""2012"",""0.37"",""2"",""CBB"",""2014"",""0.18"",""1"",""ZAL"",""2012"",""0"",""1"""
"34,""1"",""No existe ningún plan de mitigación"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"35,""1"",""SI/NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Secretaría de Gobierno"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"36,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"37,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"38,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"39,""1"",""SI"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"40,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"41,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"42,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"43,""1"",""NO"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"44,""1"",""N/D"",""0"",""A1"",""Elaboración propia en base a: MGP | Enosur | Dirección de Defensa Civil"",""CBB"",""2014"",""19"",""3"",""SLA"",""2015"",""50"",""2"",""LAP"",""2012"",""0"",""3"","""","""","""","""""
"45,""1"",""N/D"",""0"",""A1"",""N/D"",""CBB"",""2014"",""21"",""3"",""TRU"",""2012"",""15"",""2"",""BAQ"",""2013"",""9"",""1"","""","""","""","""""
"46,""1"",""N/D"",""0"",""A1"",""ND"",""ASU"",""2014"",""40.52"",""3"",""MVD"",""2004"",""10"",""2"",""FLN"",""2010"",""10.66"",""2"",""CBB"",""2014"",""21"",""3"""
"47,""1"",""N/D"",""0"",""A1"",""Población en asentamientos:  N/D - Población: Elaboración propia en base a MGP|DIE"",""CBB"",""2014"",""16"",""3"",""MVD"",""2004"",""10.1"",""2"",""PRA"",""2010"",""1.11"",""1"",""SLA"",""2015"",""33.39"",""3"""
"48,""1"",""3.22"",""0"",""N/D"",""N/D"",""ASU"",""2014"",""2.9"",""1"",""PRA"",""2013"",""1.77"",""1"",""LAP"",""2012"",""2.3"",""1"",""SLA"",""2015"",""0.6"",""1"""
"49,""1"",""4042"",""0"",""N/D"",""Población: Elaboración propia en base a MGP|DIE - Superficie Neta: N/D"",""ASU"",""2014"",""3046.50"",""3"",""FLN"",""2015"",""4523"",""2"",""LAP"",""2012"",""4560"",""2"",""MVD"",""2012"",""65.85"",""3"""
"50,""1"",""17"",""0"",""N/D"",""Elaboración propia en base a CNPyV."",""ASU"",""2012"",""46.4"",""3"",""FLN"",""2010"",""7.6"",""1"",""LAP"",""2012"",""6.9"",""1"",""MVD"",""2011"",""12.1"",""2"""
"51,""1"",""9"",""0"",""N/D"",""Elaboración propia en base a CNPyV."",""ASU"",""2012"",""10.1"",""2"",""FLN"",""2010"",""10.66"",""2"",""PRA"",""2010"",""9.23"",""1"",""SLA"",""2015"",""12.7"",""2"""
"52,""1"",""61.45"",""0"",""N/D"",""Superficie Areas Verdes: N/D"",""ASU"",""2014"",""170.8"",""1"",""FLN"",""2008"",""2894"",""1"",""LAP"",""2012"",""320"",""1"",""MVD"",""2012"",""12.68"",""3"""
